timestamp,temp_ampent,temp_object,pressure,humidity,gas_res,nh3_raw,co_raw,co2,Tvoc,no2_raw
,36.930,40.470,1007.000,51.901,980.000,2.000,6.000,6283,9874,3.000
,36.950,41.270,1007.000,50.130,2014.000,0.000,0.000,9023,15719,0.000
,36.870,42.410,1007.000,35.285,2106.000,16.000,0.000,8090,13774,38.000
,37.050,53.470,1007.000,44.741,1165.000,10.000,0.000,7360,12175,7.000
,37.170,51.030,1007.000,42.761,2392.000,16.000,37.000,7206,11822,14.000
,37.110,48.510,1007.000,37.181,3857.000,0.000,0.000,10172,18177,1.000
,36.970,35.510,1007.000,28.141,4191.000,22.000,12.000,8090,13774,26.000
,36.830,36.450,1007.000,29.675,1050.000,16.000,12.000,6046,9358,13.000
,36.710,52.750,1007.000,39.164,2330.000,6.000,0.000,8441,14485,9.000
,36.550,53.170,1007.000,35.452,3696.000,7.000,9.000,5933,9122,4.000
,36.410,51.310,1007.000,30.166,3877.000,18.000,20.000,4975,7058,23.000
,36.170,51.450,1007.000,22.752,6839.000,13.000,16.000,5933,9122,30.000
,35.950,51.030,1007.000,25.871,5960.000,28.000,33.000,4933,6970,25.000
,35.750,51.670,1007.000,33.658,3496.000,25.000,21.000,1749,390,26.000
,35.630,52.850,1007.000,34.830,4005.000,25.000,16.000,3770,4489,28.000
,35.550,51.530,1007.000,30.510,8146.000,22.000,0.000,7445,12360,21.000
,35.390,50.730,1007.000,31.859,3667.000,21.000,14.000,8785,15205,23.000
,36.110,50.110,1007.000,57.896,3076.000,22.000,6.000,10502,18892,21.000
,35.950,50.870,1007.000,41.270,4939.000,22.000,19.000,1833,493,22.000
,35.630,51.030,1007.000,33.457,3735.000,23.000,22.000,3367,3644,22.000
,35.610,53.370,1007.000,44.889,1490.000,23.000,16.000,14893,28284,26.000
,35.390,50.730,1007.000,38.311,2120.000,27.000,16.000,3602,4129,23.000
,35.190,52.830,1007.000,36.260,1415.000,25.000,20.000,763,55,16.000
,35.110,51.810,1007.000,39.518,4373.000,21.000,21.000,1277,133,25.000
,34.870,51.910,1007.000,28.565,5937.000,15.000,23.000,552,23,27.000
,34.690,51.790,1007.000,30.261,4939.000,25.000,17.000,1959,676,23.000
,34.490,51.670,1007.000,26.833,3572.000,25.000,26.000,15692,29206,24.000
,34.250,51.170,1007.000,28.885,6472.000,25.000,20.000,4035,5089,26.000
,34.110,51.310,1007.000,30.010,4228.000,23.000,23.000,1552,208,24.000
,33.830,51.430,1007.000,26.808,8551.000,25.000,24.000,1779,427,21.000
,33.450,52.230,1007.000,28.976,2621.000,21.000,22.000,1131,111,27.000
,33.310,52.230,1007.000,31.232,3920.000,26.000,27.000,7845,13223,29.000
,33.230,52.590,1007.000,32.877,2753.000,25.000,14.000,7845,13223,24.000
,33.170,52.130,1007.000,30.118,4742.000,21.000,17.000,2096,913,25.000
,33.090,52.030,1007.000,28.989,3096.000,18.000,12.000,1917,611,37.000
,32.990,51.670,1007.000,26.247,3848.000,21.000,16.000,4375,5785,23.000
,32.790,51.350,1007.000,35.165,1216.000,64.000,52.000,32768,29206,61.000
,32.690,45.090,1007.000,46.103,1540.000,50.000,48.000,2949,2733,48.000
,32.590,44.030,1007.000,33.263,5443.000,9.000,0.000,2851,2547,14.000
,32.590,50.470,1007.000,36.582,2341.000,17.000,0.000,4404,5857,16.000
,32.790,51.850,1007.000,33.649,1586.000,17.000,42.000,3232,3354,18.000
,33.190,51.770,1007.000,33.920,831.000,21.000,18.000,1618,262,20.000
,33.550,55.790,1007.000,38.691,3258.000,15.000,28.000,2022,787,27.000
,33.690,59.510,1007.000,38.467,1077.000,29.000,22.000,1746,386,23.000
,34.130,55.930,1007.000,39.541,4301.000,23.000,0.000,2937,2715,24.000
,34.130,57.090,1007.000,34.066,6476.000,28.000,0.000,1870,543,25.000
,33.890,56.550,1007.000,28.086,5184.000,16.000,0.000,2407,1588,22.000
,33.730,57.110,1007.000,30.235,5455.000,26.000,3.000,2022,787,23.000
,33.530,58.230,1007.000,34.664,5800.000,32.000,0.000,4759,6601,23.000
,33.490,56.030,1007.000,33.161,8040.000,27.000,26.000,1635,277,22.000
,33.390,57.870,1007.000,31.235,3897.000,32.000,59.000,4664,6411,31.000
,33.490,56.850,1007.000,30.685,7270.000,21.000,10.000,7227,11882,22.000
,33.450,57.210,1007.000,29.903,6678.000,23.000,16.000,10900,19786,26.000
,33.490,57.890,1007.000,31.217,4092.000,25.000,30.000,14296,27003,27.000
,34.810,72.610,1007.000,57.408,520.000,27.000,22.000,5899,9031,22.000
,34.950,59.150,1007.000,43.161,1478.000,31.000,48.000,2949,2733,26.000
,35.970,60.990,1007.000,49.128,1819.000,29.000,34.000,2633,2067,28.000
,36.410,57.870,1007.000,36.656,5343.000,31.000,50.000,4624,6334,25.000
,36.430,58.550,1007.000,37.817,3244.000,25.000,23.000,1598,244,22.000
,36.190,59.450,1007.000,29.058,4879.000,16.000,17.000,1652,292,25.000
,36.190,57.610,1007.000,27.211,6282.000,21.000,19.000,1638,280,18.000
,36.010,59.510,1007.000,28.060,2818.000,16.000,4.000,1976,705,25.000
,36.030,59.370,1007.000,34.929,6416.000,19.000,3.000,2455,1683,19.000
,35.770,58.550,1007.000,28.312,7017.000,16.000,0.000,1911,601,19.000
,35.490,59.370,1007.000,29.213,10158.000,23.000,17.000,3348,3597,25.000
,35.610,60.030,1007.000,30.407,4866.000,21.000,20.000,11269,20566,26.000
,35.530,58.150,1007.000,29.966,3962.000,29.000,21.000,4877,6849,23.000
,35.330,57.570,1007.000,31.829,5577.000,26.000,22.000,5732,8718,25.000
,35.050,56.750,1007.000,28.659,4925.000,22.000,31.000,10723,19309,21.000
,34.550,58.830,1007.000,30.115,3468.000,18.000,41.000,1970,694,23.000
,34.390,57.810,1007.000,29.566,3579.000,21.000,41.000,11269,20566,22.000
,34.330,58.010,1007.000,31.332,4621.000,19.000,37.000,16496,29206,24.000
,34.290,57.350,1007.000,34.076,3823.000,19.000,23.000,3654,4249,26.000
,34.130,56.490,1007.000,32.943,3163.000,23.000,16.000,18913,29206,27.000
,33.950,60.170,1007.000,33.546,3678.000,26.000,21.000,1585,232,22.000
,33.830,56.670,1007.000,28.226,8586.000,22.000,16.000,1673,312,23.000
,33.390,57.710,1007.000,27.436,9132.000,27.000,41.000,5024,7161,21.000
,33.070,56.870,1007.000,23.388,13012.000,32.000,49.000,1571,222,28.000
